,KNAPPER,MATERIAL,DATACLASS,CORE.ID,ID,EVENT,EVENT_ID,ORIGINAL.MASS,MNF,CORTEX,CORTEX_VALUE,DORSALNUM,EXTPLAT,PLATTYPE,MAXLENGTH,MAXWIDTH,MAXTHICK,LENGTH,WIDTH,THICK,PLATWID,PLATTHICK,EXTANGLE,WEIGHT,SURFACE.AREA,CORTEX.AREA
1339,SAM LIN,FLINT,CORE,1,0,1,1-1,3350,NA,50-99%,0.75,0,,,240.52,110.14,98.13,0,0,0,0,0,0,3140,52981.7456,39736.3092
1340,SAM LIN,FLINT,PROXFLAKE,1,1,1,1-1,3350,1,1-50%,0.25,0,N/A,CRUSHED,59.5,36.93,8.75,0,0,0,0,0,0,19.5,2197.335,549.33375
1341,SAM LIN,FLINT,DISTFLAKE,1,2,1,1-1,3350,NA,50-99%,0.75,0,,,27.23,18.31,4.06,0,0,0,0,0,0,1.7,498.5813,373.935975
1342,SAM LIN,FLINT,PROXFLAKE,1,3,1,1-1,3350,1,50-99%,0.75,0,CORTEX,UNI,72.3,55.81,24.13,0,0,0,23.58,14.02,0,81.3,4035.063,3026.29725
1343,SAM LIN,FLINT,COMPFLAKE,1,4,1,1-1,3350,1,50-99%,0.75,0,CORTEX,UNI,71.46,54.61,13.29,68.08,51.53,12.81,23.73,2.38,0,44.8,3508.1624,2631.1218
1344,SAM LIN,FLINT,DISTFLAKE,1,5,1,1-1,3350,NA,50-99%,0.75,0,,,39.81,24.08,7.17,0,0,0,0,0,0,4.7,958.6248,718.9686
1345,SAM LIN,FLINT,COMPFLAKE,1,6,1,1-1,3350,1,COMPLETE,1,0,CORTEX,CORTICAL,55.96,38.29,10.46,51.22,42.7,10.07,0,0,0,19.2,2187.094,2187.094
1346,SAM LIN,FLINT,COMPFLAKE,1,7,1,1-1,3350,1,50-99%,0.75,0,N/A,N/A,59.1,51.21,11.99,49.95,44.24,9.71,0,0,0,21.9,2209.788,1657.341
1347,SAM LIN,FLINT,DISSPLIT,1,8,1,1-1,3350,NA,50-99%,0.75,0,,,50.38,12.46,9.4,0,0,0,0,0,0,4.4,627.7348,470.8011
1348,SAM LIN,FLINT,COMPFLAKE,1,9,1,1-1,3350,1,50-99%,0.75,1,CORTEX,N/A,35.92,21.34,7.56,35.79,21.35,6.79,0,0,0,5.3,764.1165,573.087375
1349,SAM LIN,FLINT,DISTFLAKE,1,10,1,1-1,3350,NA,NONE,0,0,,,20.62,13.36,2.88,0,0,0,0,0,0,0.6,275.4832,0
1350,SAM LIN,FLINT,PROXFLAKE,1,1,2,1-2,3350,1,1-50%,0.25,0,N/A,CRUSHED,59.5,36.93,8.75,0,0,0,0,0,0,19.5,2197.335,549.33375
1351,SAM LIN,FLINT,DISTFLAKE,1,2,2,1-2,3350,NA,50-99%,0.75,0,,,27.23,18.31,4.06,0,0,0,0,0,0,1.7,498.5813,373.935975
1352,SAM LIN,FLINT,PROXFLAKE,1,3,2,1-2,3350,1,50-99%,0.75,0,CORTEX,UNI,72.3,55.81,24.13,0,0,0,23.58,14.02,0,81.3,4035.063,3026.29725
1353,SAM LIN,FLINT,COMPFLAKE,1,4,2,1-2,3350,1,50-99%,0.75,0,CORTEX,UNI,71.46,54.61,13.29,68.08,51.53,12.81,23.73,2.38,0,44.8,3508.1624,2631.1218
1354,SAM LIN,FLINT,DISTFLAKE,1,5,2,1-2,3350,NA,50-99%,0.75,0,,,39.81,24.08,7.17,0,0,0,0,0,0,4.7,958.6248,718.9686
1355,SAM LIN,FLINT,COMPFLAKE,1,6,2,1-2,3350,1,COMPLETE,1,0,CORTEX,CORTICAL,55.96,38.29,10.46,51.22,42.7,10.07,0,0,0,19.2,2187.094,2187.094
1356,SAM LIN,FLINT,COMPFLAKE,1,7,2,1-2,3350,1,50-99%,0.75,0,N/A,N/A,59.1,51.21,11.99,49.95,44.24,9.71,0,0,0,21.9,2209.788,1657.341
1357,SAM LIN,FLINT,DISSPLIT,1,8,2,1-2,3350,NA,50-99%,0.75,0,,,50.38,12.46,9.4,0,0,0,0,0,0,4.4,627.7348,470.8011
1358,SAM LIN,FLINT,COMPFLAKE,1,9,2,1-2,3350,1,50-99%,0.75,1,CORTEX,N/A,35.92,21.34,7.56,35.79,21.35,6.79,0,0,0,5.3,764.1165,573.087375
1359,SAM LIN,FLINT,DISTFLAKE,1,10,2,1-2,3350,NA,NONE,0,0,,,20.62,13.36,2.88,0,0,0,0,0,0,0.6,275.4832,0
1360,SAM LIN,FLINT,CORE,1,0,2,1-2,3350,NA,50-99%,0.75,0,,,224.53,111.42,98.26,0,0,0,0,0,0,2780,50034.2652,37525.6989
